"last_name, first_name",Handedness (batting),player_id,Year,Ab,Pa,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,Xslg,woba,Xwoba,avg_swing_speed,exit_velocity_avg,laungh_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,batted_ball,f_strike_percent,groundballs_percent,linedrives_percent
"Walker, Christian",Right,572233,2024,439,506,26,124,24.5,10.7,0.257,0.487,0.344,0.831,0.249,0.475,0.354,0.359,75.2,90.9,17,35.5,14.3,47.4,102.9743165,95.879922938,25.5,47.8,321,56.8,36.8,22.4
"Langeliers, Shea",Right,669127,2024,455,500,28,135,27,7,0.220,0.448,0.280,0.728,0.241,0.472,0.310,0.330,74.1,91.2,16.2,34.5,13.2,43.1,101.963160859,95.381215815,29.3,49.4,325,66.1,38.2,21.5
"Sánchez, Jesús",Left,660821,2024,448,489,17,124,25.4,7,0.252,0.424,0.309,0.733,0.272,0.491,0.317,0.350,75.1,93.1,7.6,32.4,12.5,52.1,104.812893704,97.118051019,30.7,53.1,327,66.4,50.2,24.8
"Meyers, Jake",Right,676694,2024,432,480,12,111,23.1,6.5,0.222,0.363,0.287,0.650,0.244,0.400,0.286,0.311,68.9,88.4,14.6,35.1,7,37.5,99.563428491,93.839971635,27.1,49.6,328,68.8,43.9,22
"Soler, Jorge",Right,624585,2024,461,535,19,133,24.9,12.1,0.239,0.434,0.336,0.770,0.248,0.454,0.336,0.348,75.3,90.4,17.8,33.8,12.4,43.5,101.681413614,95.161614894,28.9,44.7,331,60,37.2,23.3
"Greene, Riley",Left,682985,2024,472,542,23,143,26.4,11.4,0.263,0.487,0.353,0.840,0.256,0.487,0.360,0.357,74.8,91,12.2,39.3,13.3,45.5,101.750174242,95.280437818,26,44,331,60.1,43.5,24.5
"Sheets, Gavin",Left,657757,2024,432,481,10,103,21.4,8.7,0.241,0.370,0.312,0.682,0.254,0.389,0.299,0.313,72.7,87.8,13.7,41,5.7,36.1,99.021624337,93.598271994,23.3,45.8,332,57.5,36.7,32.2
"Lowe, Nathaniel",Left,663993,2024,447,520,13,116,22.3,12.5,0.266,0.389,0.362,0.751,0.251,0.371,0.334,0.324,73.3,88.8,8.2,32.2,5.4,39.7,100.310927006,94.242265958,20.2,42.4,335,59.2,48.4,25.4
"Suzuki, Seiya",Right,673548,2024,486,552,20,152,27.5,10.1,0.278,0.477,0.357,0.834,0.254,0.455,0.359,0.342,72.9,91.6,15.8,37.6,11.5,48.8,102.415188166,95.739039644,24.6,39.7,338,57.4,34.9,25.4
"Raleigh, Cal",Switch,663728,2024,497,576,30,165,28.6,11.8,0.211,0.425,0.309,0.734,0.228,0.475,0.317,0.343,74.4,91.1,21.4,35.5,15.4,48.5,102.035329763,95.539869763,30.5,51.9,338,63.4,30.2,21.3
"Langford, Wyatt",Right,694671,2024,457,509,12,105,20.6,9,0.254,0.405,0.324,0.729,0.259,0.432,0.316,0.330,74.5,89.5,16.6,31.3,9.3,43.9,101.303372102,94.865936136,22.7,43,355,61.1,39.7,22.3
"Betts, Mookie",Right,605141,2024,409,472,17,53,11.2,12.5,0.298,0.504,0.386,0.890,0.291,0.464,0.382,0.369,68.9,90.2,20.5,39.6,5.8,40.4,98.686287444,93.710893287,14.5,39.3,359,60,27.9,30.1
"Benintendi, Andrew",Left,643217,2024,447,491,19,90,18.3,8.1,0.226,0.396,0.289,0.685,0.247,0.401,0.298,0.308,68,88,16,36.7,6.4,34.7,97.199733408,92.77229549,20.8,48.1,360,61.2,38.9,22.2
"McMahon, Ryan",Left,641857,2024,532,608,19,170,28,11.2,0.246,0.400,0.333,0.733,0.250,0.431,0.321,0.335,72.6,92.2,9.5,37.3,11.2,49.9,102.852250718,96.19569615,29.9,46.8,365,60.6,49.3,24.9
"Turner, Trea",Right,607208,2024,458,491,18,90,18.3,5.5,0.299,0.467,0.344,0.811,0.269,0.430,0.351,0.323,71.6,89.5,11.4,31.4,6.8,41.7,99.877810761,94.219591223,25.3,52.7,369,65.8,47.2,22.2
"Judge, Aaron",Right,592450,2024,530,665,53,160,24.1,18.5,0.323,0.692,0.456,1.148,0.313,0.731,0.472,0.478,77.1,96,18.6,41.4,26.3,60.8,106.999403978,98.982700296,30.7,41.9,372,52.8,31.7,26.3
"Frelick, Sal",Left,686217,2024,448,495,2,74,14.9,7.9,0.259,0.333,0.324,0.657,0.248,0.306,0.294,0.280,66.3,83.3,10.1,30.1,0.8,19.5,94.363795574,91.241353151,12.7,41.4,375,61.4,48.3,24.5
"Marte, Ketel",Switch,606466,2024,466,534,32,99,18.5,10.3,0.292,0.552,0.365,0.917,0.298,0.538,0.385,0.389,73.7,93.8,8.9,33.5,11.4,53.5,103.831296096,96.805469733,21.9,48.7,376,59.2,49.2,22.1
"Rafaela, Ceddanne",Right,678882,2024,516,542,15,144,26.6,2.8,0.248,0.395,0.276,0.671,0.234,0.378,0.289,0.276,70.2,86.7,15.3,34.5,7.7,37.1,98.23833371,93.167768817,32.8,61.6,377,70.4,42.2,22.8
"Castro, Willi",Switch,650489,2024,523,592,12,146,24.7,8.1,0.250,0.394,0.334,0.728,0.246,0.389,0.322,0.320,70.6,87.5,13.4,38.8,7.1,36.7,98.909982086,93.524360402,29.5,51.3,379,64.5,40.6,27.2
"Chourio, Jackson",Right,694192,2024,487,531,21,108,20.3,7.2,0.273,0.472,0.328,0.800,0.284,0.451,0.342,0.339,73.2,89.9,7.5,33.8,8.4,45.5,101.094616455,94.969767639,26.1,49,382,65.7,47.9,24.6
